resource_id,site_id,type,plan,range,name,address,latitude,longitude
1,5,0,60,400,다온빌딩,"서울특별시 광진구 능동로31길 12-7",37.5560753000,127.0779718000
1,5,0,60,400,세종빌,"서울특별시 광진구 면목로 5",37.5547686000,127.0750736000
1,5,0,60,400,송정빌라,"서울특별시 광진구 광나루로15길 44",37.5501331000,127.0700702000
1,5,0,60,400,홍익봄마을아파트,"서울특별시 광진구 동일로34길 27",37.5498972000,127.0701452000
1,5,0,60,400,플러스아트빌,"서울특별시 광진구 동일로56다길 6",37.5556535000,127.0747283000
1,5,0,60,400,풍국빌라,"서울특별시 광진구 동일로52길 13",37.5546860000,127.0720547000
1,5,0,60,400,지성빌딩,"서울특별시 광진구 능동로29길 7",37.5544487000,127.0773363000
1,5,0,60,400,우송빌라,"서울특별시 광진구 동일로54길 15-8",37.5556380000,127.0728030000
1,5,0,60,400,한마음트윈빌,"서울특별시 구로구 오리로22길 31-5",37.4993553000,126.8309721000
1,5,0,60,400,현대3차별장빌라,"서울특별시 구로구 부일로9길 116-5",37.4973703000,126.8232854000
1,5,0,60,400,흥일하이츠빌라,"서울특별시 구로구 부일로17길 149",37.4983334000,126.8300184000
1,5,0,60,400,유앤미빌리지104동,"서울특별시 구로구 오리로22나길 16-18",37.4998134000,126.8315368000
1,5,0,60,400,중앙하이츠빌,"서울특별시 구로구 부일로15나길 19-16",37.4954541000,126.8332634000
1,5,0,60,400,태림빌라,"서울특별시 구로구 오리로20길 63",37.4983341000,126.8305879000
1,5,0,60,400,선우쉐르빌아파트,"서울특별시 구로구 부일로15길 63",37.4951257000,126.8317045000
1,5,0,60,400,성문빌딩,"서울특별시 구로구 오리로 1301",37.4975457000,126.8289331000
1,5,0,60,400,동오그린빌라트,"서울특별시 구로구 오리로17길 40",37.4964639000,126.8292029000
1,5,0,60,400,미도빌라,"서울특별시 구로구 부일로17길 112",37.4966713000,126.8307788000
1,5,0,60,400,보강빌라,"서울특별시 구로구 오리로17길 77-11",37.4979734000,126.8279377000
1,5,0,60,400,삼성그린빌,"서울특별시 구로구 오리로22나길 16-25",37.5001770000,126.8317374000
1,5,0,60,400,서현아트빌,"서울특별시 구로구 오리로22나길 6-9",37.4990399000,126.8305816000
1,5,0,60,400,다청림아파트,"서울특별시 구로구 오리로20길 52",37.4981838000,126.8311532000
1,5,0,60,400,대림빌라,"서울특별시 구로구 오리로22길 46-11",37.4994663000,126.8321132000
1,5,0,60,400,대명파크빌,"서울특별시 구로구 부일로13길 74",37.4963100000,126.8320674000
1,5,0,60,400,대주빌라,"서울특별시 구로구 부일로11길 32",37.4946594000,126.8316274000
1,5,0,60,400,동근빌라,"서울특별시 구로구 부일로11길 122",37.4983666000,126.8298486000
1,5,0,60,400,동오그린빌라트,"서울특별시 구로구 오리로17길 59",37.4972488000,126.8285263000
1,5,0,60,400,강남그린아파트,"서울특별시 구로구 오리로20길 28",37.4971800000,126.8311187000
1,7,0,60,400,낙원빌라,"서울특별시 구로구 오리로 1266-1",37.4948179000,126.8308989000
1,7,0,60,400,금화신금호아파트,"서울특별시 성동구 행당로 31-43",37.5565201000,127.0230090000
1,7,0,60,400,배수지4차빌라,"서울특별시 성동구 금호로16길 17-4",37.5571398000,127.0208660000
1,7,0,60,400,진영빌라,"서울특별시 성동구 금호산9가길 59-22",37.5534774000,127.0187608000
1,7,0,60,400,롯데아트빌,"서울특별시 성동구 금호산9가길 12-11",37.5510073000,127.0180050000
1,7,0,60,400,금호이도빌,"서울특별시 성동구 무수막1길 8",37.5489336000,127.0249826000
1,7,0,60,400,동산파크빌5차,"서울특별시 성동구 무수막3길 25",37.5498400000,127.0230310000
1,7,0,60,400,두산아파트,"서울특별시 성동구 동호로 100",37.5506428000,127.0164657000
