plan,range,site_id,type,name,address,latitude,longitude
200,200,1,0,"동북아 스위트힐아파트","서울특별시 광진구 아차산로78길 53",37.5515866000,127.1098376000
200,200,1,0,광나루현대아파트,"서울특별시 광진구 아차산로76길 27",37.5469662000,127.1079520000
200,200,1,0,광성빌딩,"서울특별시 광진구 광장로 78",37.5476114000,127.1056376000
200,200,1,0,워커힐리버빌,"서울특별시 광진구 아차산로78가길 3",37.5497455000,127.1096726000
200,200,1,0,현대아파트(상가동),"서울특별시 광진구 아차산로 503",37.5419237000,127.0974404000
200,200,1,0,중원빌딩,"서울특별시 광진구 워커힐로 3",37.5429652000,127.0944415000
200,200,1,0,명봉빌딩,"서울특별시 중구 장충단로 221",37.5646800000,127.0069533000
200,200,1,0,광희빌딩,"서울특별시 중구 퇴계로 307",37.5643045000,127.0057454000
200,200,1,0,가은빌라,"서울특별시 종로구 진흥로22가길 32-6",37.6054641000,126.9583905000
200,200,1,0,예반시티빌라,"서울특별시 종로구 비봉1길 18-3",37.6098591000,126.9555618000
200,200,1,0,앱솔루트밸류빌딩,"서울특별시 종로구 진흥로 457",37.6071124000,126.9591653000
200,200,1,0,데스떼빌리지,"서울특별시 종로구 비봉길 68-22",37.6138229000,126.9569530000
200,200,3,0,동진스위트빌라,"서울특별시 종로구 진흥로 438-5",37.6076402000,126.9566729000
200,200,3,0,부광빌라,"서울특별시 종로구 세검정로9길 77",37.6062630000,126.9595642000
200,200,3,0,한솔리더빌,"서울특별시 종로구 진흥로 472",37.6060685000,126.9600830000
200,200,3,0,힐탑빌라,"서울특별시 종로구 진흥로21길 13",37.6088335000,126.9582072000
200,200,3,0,KT텔레캅빌딩,"서울특별시 구로구 가마산로 291",37.4973614000,126.8922141000
200,200,3,0,SR친오애주상복합아파트,"서울특별시 구로구 가마산로 286",37.4966207000,126.8921743000
200,200,3,0,강남빌라,"서울특별시 구로구 구로동로40길 13",37.4959699000,126.8834899000
200,200,3,0,구로신협빌딩,"서울특별시 구로구 공원로 71",37.5028056000,126.8883166000
200,200,3,0,궁전아트빌라,"서울특별시 구로구 구로동로12길 59-8",37.4891238000,126.8865808000
200,200,3,0,나라빌딩,"서울특별시 구로구 디지털로32가길 98",37.4797479000,126.8960492000
200,200,3,0,다보빌,"서울특별시 구로구 구로동로42길 14-3",37.4963829000,126.8833510000
200,200,3,0,다인빌딩,"서울특별시 구로구 구로중앙로18길 71",37.4963927000,126.8924348000
200,200,3,0,대림아트빌,"서울특별시 구로구 가마산로20다길 22-10",37.4919658000,126.8874144000
200,200,3,0,대성빌딩,"서울특별시 구로구 디지털로32가길 46-5",37.4816070000,126.8975688000
